layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a,column_name,format_a_type,format_b_type
prcare_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
prcare_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,scamin,float64,object
prcare_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
prcare_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
lakare,30.0,31.0,30.0,1.0,0.0,15.0,False,feature_id,,,
lakare_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
lakare_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
lakare_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
lakare_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,elevat,float64,object
lakare_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
lakare_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
lakare_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
lakare_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
pipare,34.0,35.0,34.0,1.0,0.0,13.0,False,feature_id,,,
pipare_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
pipare_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
pipare_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
pipare_TYPE_MISMATCH,,,,,,,,,condtn,float64,object
pipare_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
pipare_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
pipare_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
pipare_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
pipare_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
pipare_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
pipare_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
pipare_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
pipare_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
lndmrk,42.0,43.0,42.0,1.0,0.0,16.0,False,feature_id,,,
lndmrk_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
lndmrk_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
lndmrk_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
lndmrk_TYPE_MISMATCH,,,,,,,,,convis,int32,int64
lndmrk_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
lndmrk_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
lndmrk_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
lndmrk_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
lndmrk_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
lndmrk_TYPE_MISMATCH,,,,,,,,,elevat,float64,object
lndmrk_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
lndmrk_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
lndmrk_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
lndmrk_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
lndmrk_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
lndmrk_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
tsslpt,31.0,32.0,31.0,1.0,0.0,13.0,False,feature_id,,,
tsslpt_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
tsslpt_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
tsslpt_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
tsslpt_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
tsslpt_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
