attribute,gpkg,spatialite,notes
SAMPLE_F6_fids,4044,4044,Feature 6 - fids
SAMPLE_F6_geometry,Point(1),Point(1),Feature 6 - geometry
SAMPLE_F6_grup,2,2,Feature 6 - grup
SAMPLE_F6_inform,Approximate Axis of Gulf Stream,Approximate Axis of Gulf Stream,Feature 6 - inform
SAMPLE_F6_lnam,02260F22BBCD0FCC,02260F22BBCD0FCC,Feature 6 - lnam
SAMPLE_F6_ninfom,None,None,Feature 6 - ninfom
SAMPLE_F6_nobjnm,None,None,Feature 6 - nobjnm
SAMPLE_F6_objl,36,36,Feature 6 - objl
SAMPLE_F6_objnam,Gulf Stream,Gulf Stream,Feature 6 - objnam
SAMPLE_F6_orient,11.5,11.5,Feature 6 - orient
SAMPLE_F6_perend,None,None,Feature 6 - perend
SAMPLE_F6_persta,None,None,Feature 6 - persta
SAMPLE_F6_prim,1,1,Feature 6 - prim
SAMPLE_F6_rcid,5235,5235,Feature 6 - rcid
SAMPLE_F6_recdat,None,None,Feature 6 - recdat
SAMPLE_F6_recind,None,None,Feature 6 - recind
SAMPLE_F6_rver,1,1,Feature 6 - rver
SAMPLE_F6_scamax,nan,nan,Feature 6 - scamax
SAMPLE_F6_scamin,9999999,9999999,Feature 6 - scamin
SAMPLE_F6_sordat,200303,200303,Feature 6 - sordat
SAMPLE_F6_sorind,"US,US,graph,Chart 411","US,US,graph,Chart 411",Feature 6 - sorind
SAMPLE_FEATURE_7_SEPARATOR,--- FEATURE 7 ---,--- FEATURE 7 ---,Feature 7 sample
SAMPLE_F7_agen,550,550,Feature 7 - agen
SAMPLE_F7_curvel,2.7,2.7,Feature 7 - curvel
SAMPLE_F7_datend,None,None,Feature 7 - datend
SAMPLE_F7_datsta,None,None,Feature 7 - datsta
SAMPLE_F7_dsid_dsnm,US1GC09M,US1GC09M,Feature 7 - dsid_dsnm
SAMPLE_F7_dsid_edtn,65,65,Feature 7 - dsid_edtn
SAMPLE_F7_dsid_updn,5,5,Feature 7 - dsid_updn
